degree,error,computation_time
50,49.49572691566182,0.017889738082885742
60,0.001754262880469256,0.02184009552001953
70,2.603567129076667e-07,0.026194095611572266
80,2.679160152584126e-07,0.030653953552246094
90,2.6791600199124743e-07,0.035392045974731445
100,2.6791600199124743e-07,0.05188703536987305
